block,task_id,family,n,method,model_seed,search_seed,budget,best_r,fresh_r
0,test_ba_100_00,ba,100,ea,-1,101,96,0.2439,0.241240625
0,test_ba_100_00,ba,100,ea,-1,101,192,0.24935,0.244190625
0,test_ba_100_00,ba,100,ea,-1,202,96,0.237325,0.236353125
0,test_ba_100_00,ba,100,ea,-1,202,192,0.243675,0.24175625
0,test_ba_100_00,ba,100,ea,-1,303,96,0.24145,0.239971875
0,test_ba_100_00,ba,100,ea,-1,303,192,0.2486,0.245021875
0,test_ba_100_00,ba,100,global_log_mse,17,101,96,0.251025,0.24776875
0,test_ba_100_00,ba,100,global_log_mse,17,101,192,0.258225,0.253690625
0,test_ba_100_00,ba,100,global_log_mse,17,202,96,0.2508,0.247190625
0,test_ba_100_00,ba,100,global_log_mse,17,202,192,0.2533,0.248478125
0,test_ba_100_00,ba,100,global_log_mse,17,303,96,0.246925,0.2481125
0,test_ba_100_00,ba,100,global_log_mse,17,303,192,0.256675,0.25528125
0,test_ba_100_00,ba,100,global_log_mse,23,101,96,0.25475,0.25821875
0,test_ba_100_00,ba,100,global_log_mse,23,101,192,0.2695,0.266934375
0,test_ba_100_00,ba,100,global_log_mse,23,202,96,0.2499,0.246396875
0,test_ba_100_00,ba,100,global_log_mse,23,202,192,0.2594,0.25688125
0,test_ba_100_00,ba,100,global_log_mse,23,303,96,0.244075,0.24096875
0,test_ba_100_00,ba,100,global_log_mse,23,303,192,0.263125,0.256025
0,test_ba_100_00,ba,100,global_mse,17,101,96,0.253025,0.25351875
0,test_ba_100_00,ba,100,global_mse,17,101,192,0.25785,0.256190625
0,test_ba_100_00,ba,100,global_mse,17,202,96,0.243825,0.24189375
0,test_ba_100_00,ba,100,global_mse,17,202,192,0.256,0.250053125
0,test_ba_100_00,ba,100,global_mse,17,303,96,0.2451,0.24006875
0,test_ba_100_00,ba,100,global_mse,17,303,192,0.25675,0.251275
0,test_ba_100_00,ba,100,global_mse,23,101,96,0.26315,0.26173125
0,test_ba_100_00,ba,100,global_mse,23,101,192,0.26735,0.264271875
0,test_ba_100_00,ba,100,global_mse,23,202,96,0.248075,0.24593125
0,test_ba_100_00,ba,100,global_mse,23,202,192,0.266425,0.262365625
0,test_ba_100_00,ba,100,global_mse,23,303,96,0.2571,0.25226875
0,test_ba_100_00,ba,100,global_mse,23,303,192,0.2614,0.258909375
0,test_ba_100_00,ba,100,hillclimb,-1,101,96,0.2487,0.2416375
0,test_ba_100_00,ba,100,hillclimb,-1,101,192,0.25775,0.254571875
0,test_ba_100_00,ba,100,hillclimb,-1,202,96,0.25065,0.244571875
0,test_ba_100_00,ba,100,hillclimb,-1,202,192,0.259825,0.252353125
0,test_ba_100_00,ba,100,hillclimb,-1,303,96,0.24945,0.244515625
0,test_ba_100_00,ba,100,hillclimb,-1,303,192,0.2565,0.25329375
0,test_ba_100_00,ba,100,log_mse,17,101,96,0.246575,0.24584375
0,test_ba_100_00,ba,100,log_mse,17,101,192,0.250975,0.24455
0,test_ba_100_00,ba,100,log_mse,17,202,96,0.246225,0.237971875
0,test_ba_100_00,ba,100,log_mse,17,202,192,0.2523,0.24198125
0,test_ba_100_00,ba,100,log_mse,17,303,96,0.25265,0.248275
0,test_ba_100_00,ba,100,log_mse,17,303,192,0.257825,0.254596875
0,test_ba_100_00,ba,100,log_mse,23,101,96,0.261575,0.253759375
0,test_ba_100_00,ba,100,log_mse,23,101,192,0.263125,0.255609375
0,test_ba_100_00,ba,100,log_mse,23,202,96,0.244325,0.23955
0,test_ba_100_00,ba,100,log_mse,23,202,192,0.255875,0.249765625
0,test_ba_100_00,ba,100,log_mse,23,303,96,0.24905,0.243140625
0,test_ba_100_00,ba,100,log_mse,23,303,192,0.2559,0.254040625
0,test_ba_100_00,ba,100,mse,17,101,96,0.25895,0.2555875
0,test_ba_100_00,ba,100,mse,17,101,192,0.266625,0.26350625
0,test_ba_100_00,ba,100,mse,17,202,96,0.25535,0.253625
0,test_ba_100_00,ba,100,mse,17,202,192,0.264575,0.261896875
0,test_ba_100_00,ba,100,mse,17,303,96,0.253025,0.25266875
0,test_ba_100_00,ba,100,mse,17,303,192,0.257925,0.260928125
0,test_ba_100_00,ba,100,mse,23,101,96,0.260175,0.256240625
0,test_ba_100_00,ba,100,mse,23,101,192,0.265925,0.262984375
0,test_ba_100_00,ba,100,mse,23,202,96,0.2492,0.2483
0,test_ba_100_00,ba,100,mse,23,202,192,0.2591,0.255665625
0,test_ba_100_00,ba,100,mse,23,303,96,0.239825,0.240603125
0,test_ba_100_00,ba,100,mse,23,303,192,0.249925,0.24854375
0,test_ba_100_00,ba,100,pool_random,-1,101,96,0.247325,0.2432375
0,test_ba_100_00,ba,100,pool_random,-1,101,192,0.24925,0.2462
0,test_ba_100_00,ba,100,pool_random,-1,202,96,0.238675,0.235584375
0,test_ba_100_00,ba,100,pool_random,-1,202,192,0.241975,0.237903125
0,test_ba_100_00,ba,100,pool_random,-1,303,96,0.2421,0.2369125
0,test_ba_100_00,ba,100,pool_random,-1,303,192,0.2455,0.239796875
0,test_ba_100_00,ba,100,random,-1,101,96,0.239125,0.239171875
0,test_ba_100_00,ba,100,random,-1,101,192,0.24395,0.242509375
0,test_ba_100_00,ba,100,random,-1,202,96,0.2402,0.238575
0,test_ba_100_00,ba,100,random,-1,202,192,0.2415,0.242665625
0,test_ba_100_00,ba,100,random,-1,303,96,0.237225,0.235103125
0,test_ba_100_00,ba,100,random,-1,303,192,0.24125,0.234446875
0,test_ba_100_00,ba,100,ranknet,17,101,96,0.2562,0.253021875
0,test_ba_100_00,ba,100,ranknet,17,101,192,0.2654,0.26246875
0,test_ba_100_00,ba,100,ranknet,17,202,96,0.2547,0.249234375
0,test_ba_100_00,ba,100,ranknet,17,202,192,0.262375,0.2550625
0,test_ba_100_00,ba,100,ranknet,17,303,96,0.25515,0.25069375
0,test_ba_100_00,ba,100,ranknet,17,303,192,0.271075,0.26533125
0,test_ba_100_00,ba,100,ranknet,23,101,96,0.254425,0.25333125
0,test_ba_100_00,ba,100,ranknet,23,101,192,0.263325,0.261975
0,test_ba_100_00,ba,100,ranknet,23,202,96,0.25935,0.2566125
0,test_ba_100_00,ba,100,ranknet,23,202,192,0.2644,0.260890625
0,test_ba_100_00,ba,100,ranknet,23,303,96,0.251825,0.248609375
0,test_ba_100_00,ba,100,ranknet,23,303,192,0.2645,0.257659375
0,test_ba_100_01,ba,100,ea,-1,101,96,0.24845,0.2431
0,test_ba_100_01,ba,100,ea,-1,101,192,0.255,0.251321875
0,test_ba_100_01,ba,100,ea,-1,202,96,0.242575,0.2394875
0,test_ba_100_01,ba,100,ea,-1,202,192,0.25075,0.245128125
0,test_ba_100_01,ba,100,ea,-1,303,96,0.25775,0.249059375
0,test_ba_100_01,ba,100,ea,-1,303,192,0.2592,0.248471875
0,test_ba_100_01,ba,100,global_log_mse,17,101,96,0.2489,0.246328125
0,test_ba_100_01,ba,100,global_log_mse,17,101,192,0.2569,0.2497375
0,test_ba_100_01,ba,100,global_log_mse,17,202,96,0.25435,0.25299375
0,test_ba_100_01,ba,100,global_log_mse,17,202,192,0.2638,0.261246875
0,test_ba_100_01,ba,100,global_log_mse,17,303,96,0.260075,0.24936875
0,test_ba_100_01,ba,100,global_log_mse,17,303,192,0.2646,0.2574125
0,test_ba_100_01,ba,100,global_log_mse,23,101,96,0.247675,0.241065625
0,test_ba_100_01,ba,100,global_log_mse,23,101,192,0.267725,0.264184375
0,test_ba_100_01,ba,100,global_log_mse,23,202,96,0.25445,0.248309375
0,test_ba_100_01,ba,100,global_log_mse,23,202,192,0.26565,0.262959375
0,test_ba_100_01,ba,100,global_log_mse,23,303,96,0.25905,0.2520875
0,test_ba_100_01,ba,100,global_log_mse,23,303,192,0.270275,0.264409375
0,test_ba_100_01,ba,100,global_mse,17,101,96,0.24975,0.24543125
0,test_ba_100_01,ba,100,global_mse,17,101,192,0.266575,0.259828125
0,test_ba_100_01,ba,100,global_mse,17,202,96,0.245,0.240203125
